str_no_string|NO STRING!
str_archery_target_hit|Расстояние: {reg61} шагов. Счет: {reg60}
str_use_baggage_for_inventory|Используйте сундук к доступу к своему инвентарю во время боя (он находится рядом с вами во время старта).
str_cant_use_inventory_now|сейчас нельзя открыть инвентарь
str_cant_use_inventory_arena|нельзя открыть инвентарь на арене
str_cant_use_inventory_disguised|нельзя открыть инвентарь, пока вы замаскированы
str_cant_use_inventory_tutorial|нельзя открыть инвентарь в тренировочном лагере
str_1_denar|1 шиллинг
str_reg1_denars|{reg1} шиллингов
str_january_reg1_reg2|{reg1} января {reg2} года
str_february_reg1_reg2|{reg1} февраля {reg2} года
str_march_reg1_reg2|{reg1} марта {reg2} года
str_april_reg1_reg2|{reg1} апреля {reg2} года
str_may_reg1_reg2|{reg1} мая {reg2} года
str_june_reg1_reg2|{reg1} июня {reg2} года
str_july_reg1_reg2|{reg1} июля {reg2} года
str_august_reg1_reg2|{reg1} августа {reg2} года
str_september_reg1_reg2|{reg1} сентября {reg2} года
str_october_reg1_reg2|{reg1} октября {reg2} года
str_november_reg1_reg2|{reg1} ноября {reg2} года
str_december_reg1_reg2|{reg1} декабря {reg2} года
str_town_nighttime|Сейчас ночь на дворе, добрые люди сидят по домам.
str_door_locked|дверь закрыта
str_castle_is_abondened|Этот замок пуст.
str_town_is_abondened|Гарнизон не защищает этот город.
str_place_is_occupied_by_player|Здесь расположены наши войска.
str_place_is_occupied_by_enemy|Здесь расположены вражеские войска.
str_place_is_occupied_by_friendly|Здесь расположены дружественные войска.
str_do_you_want_to_retreat|Вы действительно хотите бежать?
str_give_up_fight|Прекратить сражение?
str_do_you_wish_to_leave_tutorial|Желаете закончить обучение?
str_do_you_wish_to_surrender|Хотите сдаться?
str_can_not_retreat|Не возможно отступить, враги поблизости!
str_s1_joined_battle_enemy|{s1} вступает в битву на стороне противника.
str_s1_joined_battle_friend|{s1} вступает в битву на вашей стороне.
str_entrance_to_town_forbidden|Стража внимательно следит за воротами, поэтому попасть в город будет непросто.
str_sneaking_to_town_impossible|Стража подняла тревогу. Теперь вы не сможете пробраться внутрь, как бы хорошо ни замаскировались.
str_battle_won|Вы выиграли сражение!
str_battle_lost|Вы проиграли сражение!
str_attack_walls_success|После кровавой драки, ваши храбрые солдаты захватили стены врага.
str_attack_walls_failure|Ваши солдаты проиграли бой, мало кто остался в живых.
str_attack_walls_continue|После кровавая битвы, обе стороны боролись на равне. Несмотря на усилия ваших войск, замок остается в руках противника.
str_order_attack_success|Ваши люди храбро сражались и одолели врага.
str_order_attack_failure|Вы наблюдаете за битвой без всякой надежды на победу, враги выреали всех ваших воинов, мало кто остался в живых.
str_order_attack_continue|Несмотря на долгую перестрелки, ваши войска не смогли одержать решительную победу.
str_join_order_attack_success|Ваши люди хорошо сражаются вместе с вашими союзниками, разделяя славу, в победе над врагом.
str_join_order_attack_failure|Вы наблюдать за сражением в отчаянии, как враг вырезает ваших солдат.
str_join_order_attack_continue|Несмотря на долгую перестрелку, ни ваши войска, ни ваши союзники не смогли одержать решительную победу над врагом.
str_siege_defender_order_attack_success|Гарнизонные войска защищают свои стены с мастерством и мужеством, отбивая нападение противника и умело превращая поражение в бегство.
str_siege_defender_order_attack_failure|Нападение быстро превращается в кровавую бойню. Доблестные усилия гарнизона не могут удержать стены, и враг убивает каждоко на своем пути.
str_siege_defender_order_attack_continue|Повторные, кровавые попытки захватить стены не венчаются успехом, но слишком много врагов остаются за стенами. Осада продолжается.
str_hero_taken_prisoner|{s1} из {s3} взят в плен {s2}.
str_hero_freed|{s1} из {s3} освобожден из плена {s2}.
str_center_captured|{s2} взят {s1} от {s3}.
str_troop_relation_increased|{s1}: ваши отношения улучшились с {reg1} до {reg2}.
str_troop_relation_detoriated|{s1}: ваши отношения ухудшились с {reg1} до {reg2}.
str_faction_relation_increased|{s1}: ваши отношения улучшились с {reg1} до {reg2}.
str_faction_relation_detoriated|{s1}: ваши отношения ухудшились с {reg1} до {reg2}.
str_party_gained_morale|боевой дух отряда повышается на {reg1}.
str_party_lost_morale|боевой дух отряда падает на {reg1}.
str_other_party_gained_morale|{s1} повысил {reg1} мораль.
str_other_party_lost_morale|{s1} потерял {reg1} моряль.
str_qst_follow_spy_noticed_you|Шпионы поддерживают вас! Они организовали побег!
str_father|отец
str_husband|супруг
str_wife|супруга
str_daughter|дочь
str_mother|мать
str_son|сын
str_brother|брат
str_sister|сестра
str_he|Он
str_she|Она
str_s3s_s2|{s3} ЖЖж {s2}
str_s5_is_s51|{s5} есть {s51}.
str_s5_is_the_ruler_of_s51|{s5} правитель королевства {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} is a nobleman of {s6}. 
str_relation_mnus_100|Заклятый враг
str_relation_mnus_90|Непримиримый
str_relation_mnus_80|мстительныйстительный
str_relation_mnus_70|Ненавистный
str_relation_mnus_60|Враждебный
str_relation_mnus_50|Враждебный
str_relation_mnus_40|Сердитый
str_relation_mnus_30|Обиженный
str_relation_mnus_20|Ворчливый
str_relation_mnus_10|Подозрительный
str_relation_plus_0|Равнодушный
str_relation_plus_10|Кооперативный
str_relation_plus_20|Приветливый
str_relation_plus_30|Благоприятный
str_relation_plus_40|Поддерживающий
str_relation_plus_50|Дружелюбный
str_relation_plus_60|Милостивый
str_relation_plus_70|Любящий
str_relation_plus_80|Преданный
str_relation_plus_90|Посвященный
str_relation_mnus_100_ns|{s60} ваш заклятый враг.
str_relation_mnus_90_ns|{s60} неумолим по отношению к вам.
str_relation_mnus_80_ns|{s60} мстителен по отношению к вам.
str_relation_mnus_70_ns|{s60} ненавистен по отношению к вам.
str_relation_mnus_60_ns|{s60} враждебен по отношению к вам.
str_relation_mnus_50_ns|{s60} враждебен по отношению к вам.
str_relation_mnus_40_ns|{s60} сердит по отношению к вам.
str_relation_mnus_30_ns|{s60} обижен по отношению к вамu.
str_relation_mnus_20_ns|{s60} ворчлив по отношению к вам.
str_relation_mnus_10_ns|{s60} подозрителен по отношению к вам.
str_relation_plus_0_ns|{s60} равнодушен по отношению к вам.
str_relation_plus_10_ns|{s60} кооперативен по отношению к вам.
str_relation_plus_20_ns|{s60} приветлив по отношению к вам.
str_relation_plus_30_ns|{s60} благоприятен по отношению к вам.
str_relation_plus_40_ns|{s60} вас поддерживает.
str_relation_plus_50_ns|{s60} дружелюбен по отношению к вам.
str_relation_plus_60_ns|{s60} милостив по отношению к вам.
str_relation_plus_70_ns|{s60} обожает вас.
str_relation_plus_80_ns|{s60} предданый вам.
str_relation_plus_90_ns|{s60} посветил себя вам.
str_relation_reg1|отношение к вам: {reg1}
str_center_relation_mnus_100|Население страстно вас ненавидит
str_center_relation_mnus_90|Население крайне вас ненавидит
str_center_relation_mnus_80|Население сильно вас ненавидит
str_center_relation_mnus_70|Население ненавидит вас
str_center_relation_mnus_60|Вы отвратительны населению
str_center_relation_mnus_50|Население настроено к вам чрезвычайно враждебно
str_center_relation_mnus_40|Население настроено к вам очень враждебно
str_center_relation_mnus_30|Население настроено к вам враждебно
str_center_relation_mnus_20|Население настроено против вас
str_center_relation_mnus_10|Население относится к вам с недовольством
str_center_relation_plus_0|Населению нет до вас дела
str_center_relation_plus_10|Население принимает вас
str_center_relation_plus_20|Население готово сотрудничать с вами
str_center_relation_plus_30|Население отчасти поддерживает вас
str_center_relation_plus_40|Население поддерживает вас
str_center_relation_plus_50|Население полностью поддерживает вас
str_center_relation_plus_60|Население верно вам
str_center_relation_plus_70|Население полностью верно вам
str_center_relation_plus_80|Население предано вам
str_center_relation_plus_90|Население беззаветно предано вам
str_fort_prosperity_0|^Нищета {s60} не поддается описанию.
str_fort_prosperity_10|^В {s60} царит запустение
str_fort_prosperity_20|^ {s60} -- жалкое, безрадостное место.
str_fort_prosperity_30|^ {s60} выглядит заброшенно и бедно.
str_fort_prosperity_40|^ {s60} на краю бедности.
str_fort_prosperity_50|^ {s60} ничем не примечателен.
str_fort_prosperity_60|^ {s60} процветает.
str_fort_prosperity_70|^В благополучном {s60} кипит жизнь.
str_fort_prosperity_80|^ {s60} выглядит богато и ухоженно.
str_fort_prosperity_90|^Жители {s60} -- люди обеспеченные и довольные жизнью.
str_fort_prosperity_100|^|Невероятное богатство {s60} сразу бросается в глаза.
str_town_prosperity_0|Нищета города {s60} не поддается описанию.
str_town_prosperity_10|В городе {s60} царит запустение.
str_town_prosperity_20|Город {s60} -- жалкое, безрадостное место.
str_town_prosperity_30|Город {s60} выглядит заброшенно и бедно.
str_town_prosperity_40|Город {s60} на краю бедности.
str_town_prosperity_50|Город {s60} ничем не примечателен.
str_town_prosperity_60|Город {s60} процветает.
str_town_prosperity_70|В благополучном городе {s60} кипит жизнь.
str_town_prosperity_80|Город {s60} выглядит богато и ухоженно.
str_town_prosperity_90|Жители города {s60} -- люди обеспеченные и довольные жизнью.
str_town_prosperity_100|Невероятное богатство города {s60} сразу бросается в глаза.
str_village_prosperity_0|Нищета {s60} не поддается описанию.
str_village_prosperity_10|Немногочисленные жители {s60} влачат жалкое существование.
str_village_prosperity_20|В {s60} царит запустение.
str_village_prosperity_30|{s60} -- жалкое, безрадостное место.
str_village_prosperity_40|{s60} на краю бедности.
str_village_prosperity_50|{s60} ничем не примечательна.
str_village_prosperity_60|В {s60} дела обстоят благополучно.
str_village_prosperity_70|{s60} процветает.
str_village_prosperity_80|{s60} выглядит богато и ухоженно.
str_village_prosperity_90|Жители {s60} -- люди обеспеченные и довольные жизнью.
str_village_prosperity_100|Невероятно богатая {s60} стоит на плодородных землях.
str_town_alt_prosperity_0|Местные жители не могут позволить себе даже то  немногое, что продается на рынке. Люди голодают, скот умирает от болезней, а предметы обихода невероятно стары. В переулках лишь мухи да шелудивые псы.
str_town_alt_prosperity_20|Покупатели недовольны ценами на предметы обихода. В магазинах почти ничего нет. Голодают и люди, и животные, а все здания нуждаются в ремонте. Многие покинули это место в поисках работы.
str_town_alt_prosperity_40|Некоторые покупатели недовольны ценами на предметы обихода. В магазинах, кажется, неплохой выбор товаров. Кое-где вам попадаются заброшенные здания, магазины или телеги, но в целом все как обычно.
str_town_alt_prosperity_60|Люди выглядят сытыми и относительно обеспеченными. Ремесленники процветают, и даже приезжие могут здесь обустроиться.
str_town_alt_prosperity_80|Стены, улицы и дома в хорошем состоянии. На рынке -- толпы приезжих, привлеченных широким выбором товаров и рабочих мест. Стук молотов и шум ткацких станков говорит о процветании мастерских.
str_village_alt_prosperity_0|Немногие еще в силах работать в поле, и повсюду растет сорная трава. Все остальные ослабели от голода или давно сбежали отсюда. Лошади околели или были съедены, и на окраинах еще остались их обглоданные кости.
str_village_alt_prosperity_20|В поле работают крестьяне, но их не слишком много. Это может означать, что некоторые уезжают отсюда в поисках заработка. Их инструменты давно покрылись ржавчиной. Большая часть земли заросла сорняками и кустарником.
str_village_alt_prosperity_40|В полях и садах трудятся крестьяне. Люди и животные выглядят сытыми и довольно здоровыми. Тем не менее, самые отдаленные пашни запущены, а часть стен в ужасном состоянии. По всей видимости, на всю работу не хватает рук.
str_village_alt_prosperity_60|В полях и садах царит оживление. Полные мешки зерна и вяленого мяса свидетельствуют о богатстве местных пашен и пастбищ.
str_village_alt_prosperity_80|В полях и садах царит оживление. Недавно вырытые оросительные каналы свидетельствуют о том, что у крестьян есть время и силы на вспахивание новых территорий. То там, то тут на подмогу им приходят сезонные работники.
str_oasis_village_alt_prosperity_0|Фруктовые сады заброшены, а оросительные каналы полны ила. Немногие крестьяне выглядят истощенными и уставшими. Лошади околели или были съедены, и на окраинах еще остались их обглоданные кости.
str_oasis_village_alt_prosperity_20|Немногие крестьяне еще заботятся о фруктовых садах, но в деревне царит запустение. Большая часть каналов забита грязью, а в колодцах и прудах остался только песок.
str_oasis_village_alt_prosperity_40|Крестьяне работают в садах, собирая фрукты. Поля орошают с помощью механизмов и тягловых животных. И все же несколько прудов и оросительных каналов не в лучшем состоянии.
str_oasis_village_alt_prosperity_60|В полях и садах царит оживление. Крестьяне весело переговариваются друг с другом, собирая фрукты. Скрип деревянных насосов, ржание лошадей и шум воды говорят о том, что жители заботятся о состоянии оросительной системы.
str_oasis_village_alt_prosperity_80|В полях и садах царит оживление. Крестьяне мешками готовят на продажу яблоки. Люди роют новые колодцы и каналы, чтобы засеять больше земель.
str_acres_orchard|акров садов и виноградников
str_acres_oasis|акров орошаемых садов оазиса
str_looms|станков
str_boats|лодок
str_head_cattle|голов крупногорогатого скота
str_head_sheep|голов овец
str_mills|мельницы
str_kilns|печи
str_pans|кастрюли
str_deposits|депозиты
str_hives|крапивница
str_breweries|пивоваренные заводы
str_presses|прессы
str_smithies|кузницы
str_caravans|сухопутные караваны
str_traps|ловушки
str_gardens|садики
str_tanneries|дубильные чаны
str_master_miller|старший мельник
str_master_brewer|старший пивовар
str_master_presser|старший давильщик
str_master_smith|старший кузнец
str_master_tanner|старший кожевник
str_master_weaver|старший ткач
str_master_dyer|старший красильщик
str_war_report_minus_4|мы проигрываем войну
str_war_report_minus_3|мы в незавидном положении
str_war_report_minus_2|наши дела идут не очень хорошо
str_war_report_minus_1|мы еще можем выиграть, если ударим всеми силами
str_war_report_0|наши силы примерно равны силам противника
str_war_report_plus_1|наши шансы на победу велики
str_war_report_plus_2|наши дела идут весьма неплохо
str_war_report_plus_3|мы без труда одержим победу
str_war_report_plus_4|мы выигрываем войну
str_persuasion_summary_very_bad|Вы использовали все способы, чтобы убедить {s50}, но ни один из ваших аргументов не кажется, убедительным. Каждый раз, когда вы пытаетесь что нибыдь обьяснить, у вас эсо выходит совершенно неправильно, что выводит вас из колеи. Неудивительно, что {s50} не впечатлен.
str_persuasion_summary_bad|Вы пытаетесь убедить {s50}, но {reg51?she:he} не слушает вас с самого начала.  Даже ваши лучшие аргументы звучат не убедительно. {s50}, также, не очень высокого мнения о том, что вы сейчас сказали.
str_persuasion_summary_average|{s50} оказывается опытный оратор с острым умом, и вы не можете произнести что-то конкретное, что {reg51?she:he} считал бы за рациональным ответом.  В конце концов, ни одиному из вас не удалось докозать какой-либо позиции в этом обсуждении.
str_persuasion_summary_good|Через быстрое мышление и хорошую аргументацию, вам удастся лтстоять свою правоту, заставляя {s50} уступать по нескольким пунктам. Однако, {reg51?she:he} попрежнему выражает сомнения по поводу вашего запроса.
str_persuasion_summary_very_good|Вы произносите страстную речь, которая отзывается эхом через все уши как поэзия. Сам мир, кажется, замирает, чтобы услышать вас. Вдохновляющие слова задели  {s50}  и {reg51?she:he} готов помочь вам.
str_secret_sign_1|Шкаф танцует в полночь...
str_secret_sign_2|Не желаете ли приобрести византийский гобелен?
str_secret_sign_3|Меня прислал друг вашего друга...
str_secret_sign_4|Ветер дует с востока, река окрасилась алым...
str_countersign_1|Танцует ли он для костюмера или для свечи?
str_countersign_2|Желаю. У вас есть что-нибудь в синих тонах?
str_countersign_3|Друг мой, друг твоего друга никогда не станет другом мне.
str_countersign_4|Вам нездоровится?
str_name_1|Аэлле
str_name_2|Алдуйни
str_name_3|Бердун
str_name_4|Каедмон
str_name_5|Кеарл
str_name_6|Коенрид
str_name_7|Эадбальд
str_name_8|Артфаель
str_name_9|Аэфа
str_name_10|Эарпвальд
str_name_11|Хэнгист
str_name_12|Хорса
str_name_13|Осрэд
str_name_14|Тридвулф
str_name_15|Виктрэд
str_name_16|Вуффа
str_name_17|Кини
str_name_18|Кунедог
str_name_19|Иднерт
str_name_20|дифриг
str_name_21|Трени
str_name_22|Кадфан
str_name_23|Кадвгон
str_name_24|Риваллон
str_name_25|Хивель
str_surname_1|{s50} из Люнденвика
str_surname_2|{s50} из Кашел
str_surname_3|{s50} из Бибэйнбура
str_surname_4|{s50} из Caer Wenddoleu
str_surname_5|{s50} из Emain Macha
str_surname_6|{s50} из Киррен Систер
str_surname_7|{s50} из Din Draithou
str_surname_8|{s50} из Licidfelth
str_surname_9|{s50} из Caer Lloyw
str_surname_10|{s50} из Colne Ceaster
str_surname_11|{s50} из Din Erth
str_surname_12|{s50} из Норвича
str_surname_13|{s50} из Caer Riderch
str_surname_14|{s50} из Duin Ollaigh
str_surname_15|{s50} из Denisesburna
str_surname_16|{s50} из Dun Buicead
str_surname_17|{s50} из Swanawic
str_surname_18|{s50} из Wodetun
str_surname_19|{s50} из Badun
str_surname_20|{s50} из Leim an Eich
str_surname_21|{s50} Длинный
str_surname_22|{s50} Тощий
str_surname_23|{s50} Шелковистая борода
str_surname_24|{s50} Воробей
str_surname_25|{s50} Нищий
str_surname_26|{s50} Изрезанный
str_surname_27|{s50} Гуляка
str_surname_28|{s50} Мрачный
str_surname_29|{s50} Красный
str_surname_30|{s50} Черный
str_surname_31|{s50} Высокий
str_surname_32|{s50} Зоркий
str_surname_33|{s50} Бесстрашный
str_surname_34|{s50} Доблестный
str_surname_35|{s50} Хитрый
str_surname_36|{s50} Трусливый
str_surname_37|{s50} Яркий
str_surname_38|{s50} Быстрый
str_surname_39|{s50} Певец
str_surname_40|{s50} Жирный
str_surname_41|{s50} СорвиГолова
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|Солдат убито: {reg1}
str_number_of_troops_wounded_reg1|Солдат ранено: {reg1}
str_number_of_own_troops_killed_reg1|Солдат союзников убито: {reg1}
str_number_of_own_troops_wounded_reg1|Солдат союзников ранено: {reg1}
str_retreat|Отступаем!
str_siege_continues|Бой продолжается...
str_casualty_display|Ваши потери: {s10}^Потери противника: {s11}{s12}
str_casualty_display_hp|^Вы были ранены на {reg1} очков здоровья.
str_quest_log_updated|задания обновлены
str_banner_selection_text|Вы были награждены правом носить знамя. Ваше знамя будет показывать вашь статис и вашу честь. Какие знамя вы хотите выбрать?
str_retirement_text_1|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save, and you fare poorly in several desperate attempts to start adventuring again. You end up a beggar in {s9}, living on alms and the charity of the church.
str_retirement_text_2|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save. Once every scillinga has evaporated in your hands you are forced to start a life of crime in the backstreets of {s9}, using your skills to eke out a living robbing coppers from women and poor townsmen.
str_retirement_text_3|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save, and you end up a penniless drifter, going from tavern to tavern blagging drinks from indulgent patrons by regaling them with war stories that no one ever believes.
str_retirement_text_4|The silver you've saved doesn't last long, but you manage to put together enough to buy some land near the village of {s7}. There you become a free farmer, and you soon begin to attract potential {wives/husbands}. In time the villagers come to treat you as their local hero. You always receive a place of honour at feasts, and your exploits are told and retold in the pubs and taverns so that the children may keep a memory of you for ever and ever.
str_retirement_text_5|The silver you've saved doesn't last long, but it's enough to buy a small tavern in {s9}. Although the locals are wary of you at first, they soon accept you into their midst. In time your growing tavern becomes a popular feasthall and meeting place. People come for miles to eat or stay there due to your sheer renown and the epic stories you tell of your adventuring days.
str_retirement_text_6|You've saved wisely throughout your career, and now your silver and your intelligence allows you to make some excellent investments to cement your future. After buying several shops and warehouses in {s9}, your shrewdness turns you into one of the most prominent merchants in town, and you soon become a wealthy {man/woman} known as much for your trading empire as your exploits in battle.
str_retirement_text_7|As a landed noble, however minor, your future is all but assured. You settle in your holdfast at {s7}, administrating the village and fields, adjudicating the local courts and fulfilling your obligations to your liege lord. Occasionally your liege calls you to muster and command in his campaigns, but these stints are brief, and you never truly return to the adventuring of your younger days. You have already made your fortune. With your own hall and holdings, you've few wants that your personal wealth and the income of your lands cannot afford you.
str_retirement_text_8|There is no question that you've done very well for yourself. Your extensive holdings and adventuring wealth are enough to guarantee you a rich and easy life for the rest of your days. Retiring to your noble seat in {s8}, you exchange adventure for politics, and you soon establish yourself as a considerable power in your liege lord's kingdom. With intrigue to busy yourself with, your own forests to hunt, a hall to feast in and a hundred fine war stories to tell, you have little trouble making the best of the years that follow.
str_retirement_text_9|As a reward for your competent and loyal service, your liege lord decrees that you be given a hereditary title, joining the major nobility of the realm. Soon you complete your investiture as lord of {s7}, and you become one of your liege's close advisors and adjutants. Your renown garners you much subtle pull and influence as well as overt political power. Now you spend your days playing the games of power, administering your great fiefs, and recounting the old times of adventure and glory.
str_retirement_text_10|Though you started from humble beginnings, your liege lord holds you in high esteem, and a ripple of shock passes through the realm when he names you to the hereditary title of {dux/ducessa} of {s9}. Vast fiefs and fortunes are now yours to rule. You quickly become your liege's most trusted advisor, almost his equal and charged with much of the running of his realm, and you sit upon a throne in your own splendourous palace as one of the most powerful figures in Britannia and Hibernia.
str_loot_village|Напасть на невинных жителий
str_steal_from_villagers|Украсть у бедных жителей
str_rob_caravan|Ограбить караван
str_sell_slavery|Продать людей в рабство
str_men_hungry|кончилась еда
str_men_unpaid|не сможет оплатить воинов
str_excessive_casualties|превратить каждый бой в кровавую бойню
str_surrender|сдаться врагу
str_flee_battle|сбежать с битвы
str_pay_bandits|погасить долг бандитов
str_fail_quest|провалить квест которой был взят потеряв очки чести
str_trechery|обмануть тех кого встретили во время перемирия потеряв очки чести
str_missed_duel_npc|не явиться на поединок
str_squander_money|тратить деньги, данная нам для дела
str_murder_merchant|участвовать в хладнокровном убийстве
str_round_up_serfs|Обвести вокруг пальца крепостных от имени Дворяниня
str_battle_fate_1|Мы были разделены в пылу сражения
str_battle_fate_2|Я был ранен и оставлен умирать
str_battle_fate_3|Я был сбит врагом
str_battle_fate_4|Я был взят в плен с целью получения выкупа
str_battle_fate_5|Я попал в плен, но позже удалось бежать
str_npc_morale_report|Я {s6} ваш выбор компаньонов, {s7} ваши лидерские качества, и {s8} общее состояние дел.
str_happy|радость по поводу
str_content|удовлетворение по поводу
str_concerned|беспокойство по поводу
str_not_happy|неудовольствие по поводу
str_miserable|ужас по поводу
str_morale_reg1|Мораль: {reg1}
str_bar_enthusiastic|Восторженный
str_bar_content|Содержание
str_bar_weary|Уставший
str_bar_disgruntled|Недовольный
str_bar_miserable|Несчастный
str_here_plus_space|здесь
str_npc1_intro|Здравия желаю, военачальник.Моё имя Кайо,меня прислал мой отец.
str_npc2_intro|Здравствуй! Меня зовут Эгил.
str_npc3_intro|{reg59?Кто послал тебя? Я больше не вернусь!:Не подходите близко ко мне.Я устал от того,что меня использует каждый кто встретится на моём пути!}
str_npc4_intro|Да?
str_npc5_intro|Првиет, странник.Выпьешь со мной?
str_npc6_intro|Слушайте внимательно,у меня есть что сказать вам.
str_npc7_intro|Да?Держись подальше.
str_npc8_intro|Что тебе нужно?
str_npc9_intro|{reg59?Женщина:Мужчина} с вами все хорошо. Пожалуйста, принеси ещё выпить, хорошо?
str_npc10_intro|Боже правый, {reg59?мадам:сэр}! А они все гибли, эти Валлийцы!
str_npc11_intro|Здравствуй, {reg59?my_pretty:handsome}.Я наблюдал за тобой какое-то время.
str_npc12_intro|Здравствуй, {reg59?мадам:сэр}. Приятно познакомиться.
str_npc13_intro|Да?Что тебе нужно?
str_npc14_intro|Здравствуй,странник.Меня зовут Аличу,я воин Галлов.Без сомнения, ты слышал обо мне.
str_npc15_intro|Приветствую, {reg59?мадам:сэр}.Это Агафон.Ты можешь управлять этим местом ближайшее время?
str_npc16_intro|АХ...ТЫ...Я...
str_npc_basher_intro|Привет,странник (Незнакомый челвоек приветствует тебя и просит перекинуться парой слов... и выпить.)
str_npc_sange_intro|Здравствуй (Незнакомый челвоек приветствует тебя и просит перекинуться парой слов... и выпить.)
str_npc_paintrain_intro|Что?
str_npc_hammertime_intro|Dydd da, Я Михаэль.
str_npc_tank_intro|Поздравляю.
str_npc_backwoodsharry_intro|Привет , Странник (Мило улыбается Вам)
str_npc_deadeye_intro|Топор мне в спину. Могу ли я присоединиться к компании?  Надо оставить его в покое,не возвражаешь?.
str_npc_probulator_intro|Я Матуй Туртайл.
str_npc_grim_intro|Кто, черт возьми? Послушайте, я устал от людей, действующих , как будто я чей-то потерянный щенок.
str_npc_enchantress_intro|Как жизнь?
str_npc1_intro_response_1|Да, я знаю. Расскажи мне о себе.
str_npc2_intro_response_1|Говори,Эгиль
str_npc3_intro_response_1|Успокоиться. Я не собираюсь делать вам ничего плохого . Почему вы так боитесь ?
str_npc4_intro_response_1|Ты не болтлив,не так ли?
str_npc5_intro_response_1|Конечно . С кем имею удовольствие пить ?
str_npc6_intro_response_1|Продолжим, друг?
str_npc7_intro_response_1|Мои извинения. Я просто хочу сказать, что вы смотрите немного вниз от вашей удачи.
str_npc8_intro_response_1|Просто , чтобы скоротать время суток, иностранец, если ты ничем не занят.
str_npc9_intro_response_1|Вы , должно быть, меня перепутали с другим человеком, сэр.
str_npc10_intro_response_1|Что ты говоришь,парень?
str_npc11_intro_response_1|Кто ты, и почему ты смотришь на меня ?
str_npc12_intro_response_1|Так приятно встретиться с вами.
str_npc13_intro_response_1|Чтобы скоротать время со странником , если вы позволите .
str_npc14_intro_response_1|Хм ... Я так не думаю .
str_npc15_intro_response_1|Я.Могу я спросить,что вас беспокоит?
str_npc16_intro_response_1|Вы костноязычен?
str_npc_basher_intro_response_1|Очень хорошо , я буду следовать за вами.
str_npc_sange_intro_response_1|Очень хорошо , я буду следовать за вами.
str_npc_paintrain_intro_response_1|Расскажи мне о себе.
str_npc_hammertime_intro_response_1|Расскажи мне о себе, Михаэль.
str_npc_tank_intro_response_1|Расскажи мне о себе..
str_npc_backwoodsharry_intro_response_1|Расскажи мне о себе..
str_npc_deadeye_intro_response_1|Я не хочу вмешиваться , сэр. Я ищу людей, чтобы присоединиться к моей компании.
str_npc_probulator_intro_response_1|Очень хорошо , я буду следовать за вами.
str_npc_grim_intro_response_1|Я {playername}. Ну, присаживайся за мой стол, раздели чашку или две меда  и расскажите мне вашу историю.
